ID,team_ID,character_ID,role
55555555-0000-0000-0000-000000000001,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000001,Ring-bearer
55555555-0000-0000-0000-000000000002,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000002,Ring-guard
55555555-0000-0000-0000-000000000003,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000003,Wizard
55555555-0000-0000-0000-000000000004,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000004,Captain
55555555-0000-0000-0000-000000000005,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000005,Scout
55555555-0000-0000-0000-000000000006,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000006,Warrior
55555555-0000-0000-0000-000000000007,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000007,Warrior
55555555-0000-0000-0000-000000000008,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000008,Scout
55555555-0000-0000-0000-000000000009,44444444-0000-0000-0000-000000000001,11111111-0000-0000-0000-000000000009,Scout
55555555-0000-0000-0000-000000000010,44444444-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000003,Head
55555555-0000-0000-0000-000000000011,44444444-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000011,Member
55555555-0000-0000-0000-000000000012,44444444-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000012,Former Head
55555555-0000-0000-0000-000000000013,44444444-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000014,Member
55555555-0000-0000-0000-000000000014,44444444-0000-0000-0000-000000000002,11111111-0000-0000-0000-000000000022,Member
55555555-0000-0000-0000-000000000015,44444444-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000010,Dark Lord
55555555-0000-0000-0000-000000000016,44444444-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000021,Captain
55555555-0000-0000-0000-000000000017,44444444-0000-0000-0000-000000000003,11111111-0000-0000-0000-000000000019,Guardian
55555555-0000-0000-0000-000000000018,44444444-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000015,King
55555555-0000-0000-0000-000000000019,44444444-0000-0000-0000-000000000004,11111111-0000-0000-0000-000000000016,Shieldmaiden
